[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 13], [11, 12]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 10], [11, 12]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 12], [10, 13]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 13], [11, 12]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 8], [9, 10], [11, 12]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 13], [11, 12]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 8], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 10], [8, 13], [9, 12]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 10], [8, 11], [9, 12]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 12], [8, 11], [10, 13]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 12], [8, 13], [10, 11]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 12], [8, 9], [10, 11]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 13], [9, 10]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 12], [8, 11], [9, 10]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 9], [10, 13], [11, 12]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 13], [9, 10], [11, 12]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 11], [9, 12], [10, 13]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 13], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 7], [5, 8], [6, 13], [9, 10], [11, 12]]
[[0, 1], [2, 3], [4, 9], [5, 6], [7, 10], [8, 13], [11, 12]]
[[0, 1], [2, 3], [4, 13], [5, 6], [7, 10], [8, 9], [11, 12]]
[[0, 1], [2, 3], [4, 9], [5, 8], [6, 13], [7, 10], [11, 12]]
[[0, 1], [2, 3], [4, 13], [5, 6], [7, 10], [8, 11], [9, 12]]
[[0, 1], [2, 3], [4, 7], [5, 10], [6, 9], [8, 13], [11, 12]]
[[0, 1], [2, 3], [4, 9], [5, 6], [7, 12], [8, 13], [10, 11]]
[[0, 1], [2, 3], [4, 7], [5, 10], [6, 13], [8, 9], [11, 12]]
[[0, 1], [2, 3], [4, 13], [5, 6], [7, 12], [8, 9], [10, 11]]
[[0, 1], [2, 3], [4, 9], [5, 10], [6, 13], [7, 8], [11, 12]]
[[0, 1], [2, 3], [4, 13], [5, 6], [7, 12], [8, 11], [9, 10]]
[[0, 1], [2, 3], [4, 7], [5, 8], [6, 11], [9, 12], [10, 13]]
[[0, 1], [2, 3], [4, 7], [5, 8], [6, 13], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 13], [5, 8], [6, 7], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 11], [5, 8], [6, 13], [7, 10], [9, 12]]
[[0, 1], [2, 3], [4, 13], [5, 8], [6, 11], [7, 10], [9, 12]]
[[0, 1], [2, 3], [4, 7], [5, 10], [6, 11], [8, 13], [9, 12]]
[[0, 1], [2, 3], [4, 9], [5, 8], [6, 13], [7, 12], [10, 11]]
[[0, 1], [2, 3], [4, 7], [5, 10], [6, 13], [8, 11], [9, 12]]
[[0, 1], [2, 3], [4, 13], [5, 8], [6, 9], [7, 12], [10, 11]]
[[0, 1], [2, 3], [4, 11], [5, 8], [6, 13], [7, 12], [9, 10]]
[[0, 1], [2, 3], [4, 13], [5, 8], [6, 11], [7, 12], [9, 10]]
[[0, 1], [2, 3], [4, 9], [5, 10], [6, 11], [7, 12], [8, 13]]
[[0, 1], [2, 3], [4, 9], [5, 10], [6, 13], [7, 12], [8, 11]]
[[0, 1], [2, 3], [4, 13], [5, 10], [6, 9], [7, 12], [8, 11]]
[[0, 1], [2, 3], [4, 11], [5, 10], [6, 13], [7, 12], [8, 9]]
[[0, 1], [2, 3], [4, 13], [5, 10], [6, 11], [7, 12], [8, 9]]
[[0, 1], [2, 3], [4, 7], [5, 12], [6, 9], [8, 11], [10, 13]]
[[0, 1], [2, 3], [4, 7], [5, 12], [6, 9], [8, 13], [10, 11]]
[[0, 1], [2, 3], [4, 7], [5, 12], [6, 11], [8, 9], [10, 13]]
[[0, 1], [2, 3], [4, 7], [5, 12], [6, 13], [8, 9], [10, 11]]
[[0, 1], [2, 3], [4, 7], [5, 12], [6, 11], [8, 13], [9, 10]]
[[0, 1], [2, 3], [4, 7], [5, 12], [6, 13], [8, 11], [9, 10]]
[[0, 1], [2, 3], [4, 9], [5, 12], [6, 7], [8, 13], [10, 11]]
[[0, 1], [2, 3], [4, 9], [5, 12], [6, 13], [7, 8], [10, 11]]
[[0, 1], [2, 3], [4, 13], [5, 12], [6, 7], [8, 11], [9, 10]]
[[0, 1], [2, 3], [4, 11], [5, 12], [6, 13], [7, 8], [9, 10]]
[[0, 1], [2, 3], [4, 13], [5, 12], [6, 11], [7, 8], [9, 10]]
[[0, 1], [2, 3], [4, 9], [5, 12], [6, 11], [7, 10], [8, 13]]
[[0, 1], [2, 3], [4, 9], [5, 12], [6, 13], [7, 10], [8, 11]]
[[0, 1], [2, 3], [4, 13], [5, 12], [6, 9], [7, 10], [8, 11]]
[[0, 1], [2, 3], [4, 11], [5, 12], [6, 13], [7, 10], [8, 9]]
[[0, 1], [2, 3], [4, 13], [5, 12], [6, 11], [7, 10], [8, 9]]
[[0, 1], [2, 5], [3, 4], [6, 7], [8, 11], [9, 12], [10, 13]]
[[0, 1], [2, 5], [3, 4], [6, 7], [8, 13], [9, 12], [10, 11]]
[[0, 1], [2, 5], [3, 4], [6, 9], [7, 8], [10, 13], [11, 12]]
[[0, 1], [2, 5], [3, 4], [6, 11], [7, 8], [9, 12], [10, 13]]
[[0, 1], [2, 5], [3, 4], [6, 13], [7, 8], [9, 12], [10, 11]]
[[0, 1], [2, 5], [3, 4], [6, 9], [7, 10], [8, 13], [11, 12]]
[[0, 1], [2, 5], [3, 4], [6, 13], [7, 10], [8, 9], [11, 12]]
[[0, 1], [2, 5], [3, 4], [6, 11], [7, 10], [8, 13], [9, 12]]
[[0, 1], [2, 5], [3, 4], [6, 13], [7, 10], [8, 11], [9, 12]]
[[0, 1], [2, 5], [3, 4], [6, 9], [7, 12], [8, 11], [10, 13]]
[[0, 1], [2, 5], [3, 4], [6, 9], [7, 12], [8, 13], [10, 11]]
[[0, 1], [2, 5], [3, 4], [6, 11], [7, 12], [8, 9], [10, 13]]
[[0, 1], [2, 5], [3, 4], [6, 11], [7, 12], [8, 13], [9, 10]]
[[0, 1], [2, 5], [3, 4], [6, 13], [7, 12], [8, 11], [9, 10]]
[[0, 1], [2, 5], [3, 6], [4, 9], [7, 10], [8, 13], [11, 12]]
[[0, 1], [2, 5], [3, 10], [4, 13], [6, 9], [7, 8], [11, 12]]
[[0, 1], [2, 5], [3, 10], [4, 7], [6, 13], [8, 9], [11, 12]]
[[0, 1], [2, 5], [3, 10], [4, 7], [6, 9], [8, 13], [11, 12]]
[[0, 1], [2, 5], [3, 8], [4, 9], [6, 13], [7, 10], [11, 12]]
[[0, 1], [2, 5], [3, 10], [4, 9], [6, 13], [7, 8], [11, 12]]
[[0, 1], [2, 5], [3, 10], [4, 9], [6, 7], [8, 13], [11, 12]]
[[0, 1], [2, 7], [3, 4], [5, 10], [6, 9], [8, 13], [11, 12]]
[[0, 1], [2, 7], [3, 4], [5, 10], [6, 13], [8, 9], [11, 12]]
[[0, 1], [2, 7], [3, 4], [5, 10], [6, 11], [8, 13], [9, 12]]
[[0, 1], [2, 7], [3, 4], [5, 10], [6, 13], [8, 11], [9, 12]]
[[0, 1], [2, 7], [3, 10], [4, 5], [6, 13], [8, 9], [11, 12]]
[[0, 1], [2, 5], [3, 12], [4, 9], [6, 13], [7, 8], [10, 11]]
[[0, 1], [2, 7], [3, 8], [4, 9], [5, 10], [6, 13], [11, 12]]
[[0, 1], [2, 7], [3, 10], [4, 9], [5, 8], [6, 13], [11, 12]]
[[0, 1], [2, 7], [3, 4], [5, 12], [6, 11], [8, 13], [9, 10]]
[[0, 1], [2, 7], [3, 4], [5, 12], [6, 13], [8, 11], [9, 10]]
[[0, 1], [2, 9], [3, 4], [5, 12], [6, 13], [7, 8], [10, 11]]
[[0, 1], [2, 9], [3, 4], [5, 12], [6, 13], [7, 10], [8, 11]]
[[0, 1], [2, 5], [3, 6], [4, 7], [8, 11], [9, 12], [10, 13]]
[[0, 1], [2, 5], [3, 6], [4, 7], [8, 13], [9, 12], [10, 11]]
[[0, 1], [2, 5], [3, 6], [4, 11], [7, 8], [9, 12], [10, 13]]
[[0, 1], [2, 5], [3, 6], [4, 11], [7, 10], [8, 13], [9, 12]]
[[0, 1], [2, 5], [3, 6], [4, 13], [7, 10], [8, 11], [9, 12]]
[[0, 1], [2, 5], [3, 6], [4, 9], [7, 12], [8, 11], [10, 13]]
[[0, 1], [2, 5], [3, 6], [4, 9], [7, 12], [8, 13], [10, 11]]
[[0, 1], [2, 5], [3, 6], [4, 11], [7, 12], [8, 9], [10, 13]]
[[0, 1], [2, 5], [3, 6], [4, 11], [7, 12], [8, 13], [9, 10]]
[[0, 1], [2, 5], [3, 6], [4, 13], [7, 12], [8, 11], [9, 10]]
[[0, 1], [2, 7], [3, 6], [4, 5], [8, 13], [9, 12], [10, 11]]
[[0, 1], [2, 7], [3, 6], [4, 13], [5, 8], [9, 12], [10, 11]]
[[0, 1], [2, 13], [3, 6], [4, 5], [7, 10], [8, 11], [9, 12]]
[[0, 1], [2, 5], [3, 8], [4, 7], [6, 13], [9, 12], [10, 11]]
[[0, 1], [2, 7], [3, 8], [4, 5], [6, 13], [9, 12], [10, 11]]
[[0, 1], [2, 5], [3, 8], [4, 13], [6, 7], [9, 12], [10, 11]]
[[0, 1], [2, 7], [3, 8], [4, 13], [5, 6], [9, 12], [10, 11]]
[[0, 1], [2, 13], [3, 6], [4, 5], [7, 12], [8, 11], [9, 10]]
[[0, 1], [2, 11], [3, 6], [4, 13], [5, 8], [7, 10], [9, 12]]
[[0, 1], [2, 13], [3, 6], [4, 11], [5, 8], [7, 10], [9, 12]]
[[0, 1], [2, 5], [3, 8], [4, 11], [6, 13], [7, 10], [9, 12]]
[[0, 1], [2, 9], [3, 6], [4, 13], [5, 8], [7, 12], [10, 11]]
[[0, 1], [2, 5], [3, 8], [4, 13], [6, 11], [7, 10], [9, 12]]
[[0, 1], [2, 5], [3, 12], [4, 7], [6, 11], [8, 13], [9, 10]]
[[0, 1], [2, 5], [3, 12], [4, 7], [6, 13], [8, 11], [9, 10]]
[[0, 1], [2, 7], [3, 6], [4, 11], [5, 10], [8, 13], [9, 12]]
[[0, 1], [2, 7], [3, 6], [4, 13], [5, 10], [8, 11], [9, 12]]
[[0, 1], [2, 13], [3, 6], [4, 7], [5, 10], [8, 11], [9, 12]]
[[0, 1], [2, 5], [3, 12], [4, 9], [6, 11], [7, 8], [10, 13]]
[[0, 1], [2, 5], [3, 12], [4, 11], [6, 9], [7, 8], [10, 13]]
[[0, 1], [2, 7], [3, 8], [4, 11], [5, 10], [6, 13], [9, 12]]
[[0, 1], [2, 9], [3, 6], [4, 13], [5, 10], [7, 12], [8, 11]]
[[0, 1], [2, 7], [3, 8], [4, 13], [5, 10], [6, 11], [9, 12]]
[[0, 1], [2, 13], [3, 6], [4, 9], [5, 10], [7, 12], [8, 11]]
[[0, 1], [2, 11], [3, 6], [4, 13], [5, 10], [7, 12], [8, 9]]
[[0, 1], [2, 11], [3, 6], [4, 13], [5, 12], [7, 10], [8, 9]]
[[0, 1], [2, 5], [3, 10], [4, 7], [6, 11], [8, 13], [9, 12]]
[[0, 1], [2, 7], [3, 6], [4, 9], [5, 12], [8, 13], [10, 11]]
[[0, 1], [2, 5], [3, 10], [4, 11], [6, 7], [8, 13], [9, 12]]
[[0, 1], [2, 7], [3, 6], [4, 11], [5, 12], [8, 13], [9, 10]]
[[0, 1], [2, 7], [3, 6], [4, 13], [5, 12], [8, 11], [9, 10]]
[[0, 1], [2, 5], [3, 10], [4, 7], [6, 13], [8, 11], [9, 12]]
[[0, 1], [2, 7], [3, 10], [4, 5], [6, 13], [8, 11], [9, 12]]
[[0, 1], [2, 7], [3, 10], [4, 13], [5, 6], [8, 11], [9, 12]]
[[0, 1], [2, 13], [3, 6], [4, 7], [5, 12], [8, 11], [9, 10]]
[[0, 1], [2, 5], [3, 10], [4, 11], [6, 13], [7, 8], [9, 12]]
[[0, 1], [2, 5], [3, 10], [4, 13], [6, 11], [7, 8], [9, 12]]
[[0, 1], [2, 7], [3, 10], [4, 11], [5, 8], [6, 13], [9, 12]]
[[0, 1], [2, 9], [3, 6], [4, 13], [5, 12], [7, 10], [8, 11]]
[[0, 1], [2, 7], [3, 10], [4, 13], [5, 8], [6, 11], [9, 12]]
[[0, 1], [2, 13], [3, 6], [4, 9], [5, 12], [7, 10], [8, 11]]
[[0, 1], [2, 13], [3, 6], [4, 11], [5, 12], [7, 10], [8, 9]]
[[0, 1], [2, 5], [3, 8], [4, 9], [6, 11], [7, 12], [10, 13]]
[[0, 1], [2, 5], [3, 8], [4, 9], [6, 13], [7, 12], [10, 11]]
[[0, 1], [2, 5], [3, 8], [4, 11], [6, 9], [7, 12], [10, 13]]
[[0, 1], [2, 5], [3, 8], [4, 13], [6, 9], [7, 12], [10, 11]]
[[0, 1], [2, 5], [3, 8], [4, 11], [6, 13], [7, 12], [9, 10]]
[[0, 1], [2, 5], [3, 8], [4, 13], [6, 11], [7, 12], [9, 10]]
[[0, 1], [2, 9], [3, 8], [4, 5], [6, 13], [7, 12], [10, 11]]
[[0, 1], [2, 7], [3, 12], [4, 11], [5, 6], [8, 13], [9, 10]]
[[0, 1], [2, 7], [3, 12], [4, 5], [6, 11], [8, 13], [9, 10]]
[[0, 1], [2, 7], [3, 12], [4, 5], [6, 13], [8, 11], [9, 10]]
[[0, 1], [2, 9], [3, 8], [4, 11], [5, 10], [6, 13], [7, 12]]
[[0, 1], [2, 9], [3, 8], [4, 13], [5, 10], [6, 11], [7, 12]]
[[0, 1], [2, 13], [3, 8], [4, 9], [5, 10], [6, 11], [7, 12]]
[[0, 1], [2, 11], [3, 8], [4, 13], [5, 10], [6, 9], [7, 12]]
[[0, 1], [2, 13], [3, 8], [4, 11], [5, 10], [6, 9], [7, 12]]
[[0, 1], [2, 5], [3, 10], [4, 9], [6, 11], [7, 12], [8, 13]]
[[0, 1], [2, 7], [3, 8], [4, 9], [5, 12], [6, 13], [10, 11]]
[[0, 1], [2, 5], [3, 10], [4, 11], [6, 9], [7, 12], [8, 13]]
[[0, 1], [2, 7], [3, 8], [4, 11], [5, 12], [6, 13], [9, 10]]
[[0, 1], [2, 7], [3, 8], [4, 13], [5, 12], [6, 11], [9, 10]]
[[0, 1], [2, 5], [3, 10], [4, 9], [6, 13], [7, 12], [8, 11]]
[[0, 1], [2, 9], [3, 8], [4, 7], [5, 12], [6, 13], [10, 11]]
[[0, 1], [2, 5], [3, 10], [4, 13], [6, 9], [7, 12], [8, 11]]
[[0, 1], [2, 5], [3, 10], [4, 11], [6, 13], [7, 12], [8, 9]]
[[0, 1], [2, 5], [3, 10], [4, 13], [6, 11], [7, 12], [8, 9]]
[[0, 1], [2, 9], [3, 8], [4, 11], [5, 12], [6, 13], [7, 10]]
[[0, 1], [2, 9], [3, 8], [4, 13], [5, 12], [6, 11], [7, 10]]
[[0, 1], [2, 9], [3, 10], [4, 13], [5, 8], [6, 11], [7, 12]]
[[0, 1], [2, 13], [3, 8], [4, 9], [5, 12], [6, 11], [7, 10]]
[[0, 1], [2, 11], [3, 8], [4, 13], [5, 12], [6, 9], [7, 10]]
[[0, 1], [2, 13], [3, 8], [4, 11], [5, 12], [6, 9], [7, 10]]
[[0, 1], [2, 7], [3, 10], [4, 9], [5, 12], [6, 11], [8, 13]]
[[0, 1], [2, 7], [3, 10], [4, 9], [5, 12], [6, 13], [8, 11]]
[[0, 1], [2, 7], [3, 10], [4, 11], [5, 12], [6, 9], [8, 13]]
[[0, 1], [2, 7], [3, 10], [4, 13], [5, 12], [6, 9], [8, 11]]
[[0, 1], [2, 7], [3, 10], [4, 11], [5, 12], [6, 13], [8, 9]]
[[0, 1], [2, 7], [3, 10], [4, 13], [5, 12], [6, 11], [8, 9]]
[[0, 1], [2, 9], [3, 10], [4, 7], [5, 12], [6, 13], [8, 11]]
[[0, 1], [2, 13], [3, 10], [4, 7], [5, 12], [6, 9], [8, 11]]
[[0, 1], [2, 5], [3, 12], [4, 11], [6, 13], [7, 10], [8, 9]]
[[0, 1], [2, 9], [3, 10], [4, 11], [5, 12], [6, 13], [7, 8]]
[[0, 1], [2, 9], [3, 10], [4, 13], [5, 12], [6, 11], [7, 8]]
[[0, 1], [2, 11], [3, 10], [4, 13], [5, 12], [6, 9], [7, 8]]
[[0, 1], [2, 13], [3, 10], [4, 11], [5, 12], [6, 9], [7, 8]]
[[0, 1], [2, 5], [3, 12], [4, 7], [6, 9], [8, 11], [10, 13]]
[[0, 1], [2, 5], [3, 12], [4, 7], [6, 9], [8, 13], [10, 11]]
[[0, 1], [2, 5], [3, 12], [4, 7], [6, 11], [8, 9], [10, 13]]
[[0, 1], [2, 5], [3, 12], [4, 9], [6, 7], [8, 13], [10, 11]]
[[0, 1], [2, 5], [3, 12], [4, 9], [6, 11], [7, 10], [8, 13]]
[[0, 1], [2, 5], [3, 12], [4, 9], [6, 13], [7, 10], [8, 11]]
[[0, 1], [2, 5], [3, 12], [4, 11], [6, 9], [7, 10], [8, 13]]
[[0, 1], [2, 5], [3, 12], [4, 13], [6, 9], [7, 10], [8, 11]]
[[0, 1], [2, 5], [3, 12], [4, 13], [6, 11], [7, 10], [8, 9]]
[[0, 1], [2, 9], [3, 12], [4, 11], [5, 8], [6, 13], [7, 10]]
[[0, 1], [2, 9], [3, 12], [4, 13], [5, 8], [6, 11], [7, 10]]
[[0, 1], [2, 13], [3, 12], [4, 9], [5, 8], [6, 11], [7, 10]]
[[0, 1], [2, 11], [3, 12], [4, 13], [5, 8], [6, 9], [7, 10]]
[[0, 1], [2, 13], [3, 12], [4, 11], [5, 8], [6, 9], [7, 10]]
[[0, 1], [2, 7], [3, 12], [4, 9], [5, 10], [6, 11], [8, 13]]
[[0, 1], [2, 7], [3, 12], [4, 9], [5, 10], [6, 13], [8, 11]]
[[0, 1], [2, 7], [3, 12], [4, 11], [5, 10], [6, 9], [8, 13]]
[[0, 1], [2, 7], [3, 12], [4, 13], [5, 10], [6, 9], [8, 11]]
[[0, 1], [2, 7], [3, 12], [4, 13], [5, 10], [6, 11], [8, 9]]
[[0, 1], [2, 9], [3, 12], [4, 7], [5, 10], [6, 13], [8, 11]]
[[0, 1], [2, 13], [3, 12], [4, 7], [5, 10], [6, 9], [8, 11]]
[[0, 1], [2, 9], [3, 12], [4, 11], [5, 10], [6, 13], [7, 8]]
[[0, 1], [2, 9], [3, 12], [4, 13], [5, 10], [6, 11], [7, 8]]
[[0, 1], [2, 11], [3, 12], [4, 13], [5, 10], [6, 9], [7, 8]]
[[0, 1], [2, 13], [3, 12], [4, 11], [5, 10], [6, 9], [7, 8]]
[[0, 3], [1, 4], [2, 5], [6, 11], [7, 10], [8, 13], [9, 12]]
[[0, 3], [1, 4], [2, 5], [6, 13], [7, 10], [8, 11], [9, 12]]
[[0, 3], [1, 4], [2, 5], [6, 9], [7, 12], [8, 11], [10, 13]]
[[0, 3], [1, 4], [2, 7], [5, 8], [6, 11], [9, 12], [10, 13]]
[[0, 3], [1, 4], [2, 7], [5, 12], [6, 9], [8, 11], [10, 13]]
[[0, 3], [1, 4], [2, 9], [5, 8], [6, 11], [7, 12], [10, 13]]
[[0, 3], [1, 4], [2, 7], [5, 10], [6, 11], [8, 13], [9, 12]]
[[0, 3], [1, 4], [2, 7], [5, 10], [6, 13], [8, 11], [9, 12]]
[[0, 3], [1, 4], [2, 9], [5, 10], [6, 11], [7, 12], [8, 13]]
[[0, 3], [1, 4], [2, 9], [5, 10], [6, 13], [7, 12], [8, 11]]
[[0, 3], [1, 4], [2, 9], [5, 12], [6, 13], [7, 10], [8, 11]]
[[0, 3], [1, 6], [2, 5], [4, 9], [7, 12], [8, 11], [10, 13]]
[[0, 3], [1, 6], [2, 5], [4, 11], [7, 10], [8, 13], [9, 12]]
[[0, 3], [1, 12], [2, 5], [4, 7], [6, 9], [8, 11], [10, 13]]
[[0, 3], [1, 6], [2, 11], [4, 13], [5, 8], [7, 10], [9, 12]]
[[0, 3], [1, 10], [2, 5], [4, 9], [6, 13], [7, 12], [8, 11]]
[[0, 3], [1, 10], [2, 5], [4, 9], [6, 11], [7, 12], [8, 13]]
[[0, 3], [1, 6], [2, 7], [4, 9], [5, 12], [8, 11], [10, 13]]
[[0, 3], [1, 8], [2, 5], [4, 11], [6, 13], [7, 10], [9, 12]]
[[0, 3], [1, 6], [2, 9], [4, 7], [5, 12], [8, 11], [10, 13]]
[[0, 3], [1, 6], [2, 7], [4, 11], [5, 10], [8, 13], [9, 12]]
[[0, 3], [1, 6], [2, 11], [4, 7], [5, 10], [8, 13], [9, 12]]
[[0, 3], [1, 10], [2, 7], [4, 9], [5, 12], [6, 13], [8, 11]]
[[0, 3], [1, 10], [2, 7], [4, 9], [5, 12], [6, 11], [8, 13]]
[[0, 3], [1, 8], [2, 7], [4, 9], [5, 12], [6, 11], [10, 13]]
[[0, 3], [1, 8], [2, 7], [4, 11], [5, 10], [6, 13], [9, 12]]
[[0, 3], [1, 6], [2, 9], [4, 11], [5, 8], [7, 12], [10, 13]]
[[0, 3], [1, 8], [2, 7], [4, 11], [5, 12], [6, 9], [10, 13]]
[[0, 3], [1, 6], [2, 9], [4, 13], [5, 10], [7, 12], [8, 11]]
[[0, 3], [1, 8], [2, 9], [4, 13], [5, 10], [6, 11], [7, 12]]
[[0, 3], [1, 8], [2, 9], [4, 13], [5, 12], [6, 11], [7, 10]]
[[0, 3], [1, 8], [2, 9], [4, 11], [5, 10], [6, 13], [7, 12]]
[[0, 3], [1, 8], [2, 9], [4, 11], [5, 12], [6, 13], [7, 10]]
[[0, 3], [1, 6], [2, 9], [4, 11], [5, 10], [7, 12], [8, 13]]
[[0, 3], [1, 6], [2, 9], [4, 11], [5, 12], [7, 10], [8, 13]]
[[0, 3], [1, 6], [2, 11], [4, 9], [5, 10], [7, 12], [8, 13]]
[[0, 3], [1, 6], [2, 11], [4, 9], [5, 12], [7, 10], [8, 13]]
[[0, 5], [1, 10], [2, 7], [3, 12], [4, 9], [6, 11], [8, 13]]
[[0, 5], [1, 6], [2, 9], [3, 10], [4, 11], [7, 12], [8, 13]]
[[0, 5], [1, 6], [2, 11], [3, 10], [4, 9], [7, 12], [8, 13]]
[[0, 5], [1, 8], [2, 9], [3, 10], [4, 11], [6, 13], [7, 12]]
[[0, 5], [1, 8], [2, 11], [3, 10], [4, 9], [6, 13], [7, 12]]
[[0, 7], [1, 8], [2, 9], [3, 10], [4, 11], [5, 12], [6, 13]]
